Gender;Age;Ort;Ort_2;extra_1;agree_1_r;consc_1;neuro_1;open_1_r;extra_2;agree_2;consc_2;neuro_2_r;open_2;extra_3;agree_3;consc_3_r;neuro_3;open_3;extra_4_r;agree_4;consc_4;neuro_4;open_4;extra_5_r;agree_5;consc_5;neuro_5;open_5;extra_6;agree_6;consc_6_r;neuro_6;open_6;extra_7;agree_7;consc_7;neuro_7_r;open_7;extra_8;agree_8_r;consc_8;neuro_8;open_8_r;extra_9;agree_9;consc_9;neuro_9_r
non-binary;68;3001;3001;Stimme voll und ganz zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme gar nicht zu;Neutral;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme voll und ganz zu;Neutral;Stimme eher zu;Neutral;Neutral;Neutral;Stimme eher nicht zu;Neutral;Stimme eher nicht zu;;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Neutral;Stimme gar nicht zu;Stimme eher nicht zu;;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu
non-binary;24;3012;3012;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Neutral;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Neutral;Stimme eher zu;Neutral;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Neutral;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu
non-binary;38;3012;3012;Stimme eher nicht zu;Neutral;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Stimme eher zu;Neutral;Neutral;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Neutral;Neutral;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Neutral
non-binary;26;3012;3012;Stimme voll und ganz zu;Stimme gar nicht zu;Neutral;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Stimme eher zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme gar nicht zu;Neutral;Neutral;Stimme eher zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll und ganz zu;Neutral;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Neutral;Stimme voll und ganz zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Neutral;Stimme voll und ganz zu
other;56;3012;3012;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Neutral;Stimme eher nicht zu;Neutral;Stimme eher nicht zu;Neutral;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;Neutral;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Neutral;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Neutral;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu
male;35;3012;3012;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Neutral;Stimme eher zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Neutral;Stimme gar nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Neutral;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Neutral;Neutral;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Neutral;Neutral;Neutral
female;21;3012;3012;Stimme eher zu;Neutral;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Neutral;Stimme eher nicht zu;Stimme voll und ganz zu;Neutral;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme voll und ganz zu;Neutral;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Neutral;Neutral;Stimme eher zu;Stimme eher zu;Neutral;Stimme eher nicht zu;Stimme voll und ganz zu
female;42;3005;3005;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Neutral;Neutral;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Stimme eher nicht zu;Stimme eher nicht zu;Neutral;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher zu;Neutral;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu
female;31;3012;3012;Stimme eher zu;Stimme eher nicht zu;Neutral;Stimme eher zu;Stimme voll und ganz zu;Neutral;Neutral;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Neutral;;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher zu;Neutral;Neutral;Neutral;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme voll und ganz zu;Neutral;Stimme gar nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Neutral;Neutral;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu
non-binary;67;3014;3014;Stimme voll und ganz zu;Stimme eher nicht zu;Neutral;Stimme eher nicht zu;Neutral;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Neutral;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme eher zu;Stimme voll und ganz zu;Neutral;Neutral;Neutral;Stimme voll und ganz zu;Stimme eher zu;Neutral;Stimme eher zu;Stimme eher nicht zu;Neutral;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme voll und ganz zu;Neutral;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Neutral
;26;3012;3012;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Neutral;Neutral;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Neutral;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Neutral;Stimme voll und ganz zu;Neutral;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher nicht zu;Neutral;Stimme voll und ganz zu;Neutral;Stimme gar nicht zu;Stimme eher zu
male;43;3012;3012;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme eher nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher nicht zu;Neutral;Stimme eher nicht zu;Stimme gar nicht zu;Neutral;Neutral;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Neutral;Stimme voll und ganz zu;Stimme eher nicht zu;Neutral;Neutral;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher nicht zu
female;19;3005;3005;Stimme voll und ganz zu;Neutral;Stimme gar nicht zu;Stimme gar nicht zu;Neutral;Stimme eher zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Stimme voll und ganz zu;Neutral;Stimme eher zu;Stimme eher nicht zu;Neutral;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Neutral;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Neutral;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll und ganz zu;Neutral;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Stimme gar nicht zu;Neutral;Neutral;Stimme gar nicht zu;Neutral;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher zu
male;37;3014;3014;Stimme gar nicht zu;Stimme gar nicht zu;Neutral;Stimme eher zu;Neutral;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Stimme voll und ganz zu;Neutral;Stimme gar nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Neutral;Neutral;Stimme gar nicht zu;Neutral;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Neutral;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu
male;15;3012;3012;Stimme gar nicht zu;Stimme eher zu;Stimme eher nicht zu;Neutral;Neutral;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Stimme eher zu;Stimme eher zu;Neutral;Stimme eher nicht zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher nicht zu;Neutral;Stimme eher nicht zu;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Neutral;Stimme eher nicht zu;Stimme voll und ganz zu;Neutral;Stimme voll und ganz zu;Neutral;Stimme eher nicht zu;Stimme eher zu;Neutral;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme eher nicht zu
female;64;3005;3005;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Neutral;Neutral;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Neutral;Stimme eher nicht zu;Neutral;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Neutral;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher zu;Neutral;Neutral;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Neutral;Neutral;Stimme eher zu;Neutral
female;24;3012;3012;Stimme gar nicht zu;Stimme eher zu;Neutral;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Stimme eher zu;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Neutral;Neutral;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Neutral;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Neutral;Stimme eher nicht zu;Stimme gar nicht zu;Neutral
female;61;3014;3014;Stimme eher zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Neutral;Stimme eher nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher nicht zu;Neutral;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Neutral;Neutral;Stimme eher zu;Neutral;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu
other;25;3012;3012;Neutral;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Neutral;Stimme eher zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Neutral;Stimme voll und ganz zu;Stimme eher nicht zu;Neutral;Stimme gar nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Neutral;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Neutral;Stimme gar nicht zu;Neutral;Neutral;Stimme eher nicht zu;Neutral;Neutral;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu
