"code","question1","question2","question3","question4","question5","question6","question7","question8","question9","question10","question11","question12","question13","question14","question15","question16","question17","question18","vp_sum","vp_propcorrect","cb_sum","cb_propcorrect","csvtm_sum","cvstm_propcorrect","strategies","pre2","pre3","post","group_all","mean_rl_all","mean_e1_all","mean_d1_all","mean_d_all","time_rating","rating"
20,3,4,4,4,4,3,4,4,1,4,2,3,1,3,4,1,3,4,29,0.805555556,24,0.666666667,85,0.708333333,1,3.4,2.5,1.8,"control",4.65,4.6,19.5261635,56.095025,"pre1",4.1
20,3,4,4,4,4,3,4,4,1,4,2,3,1,3,4,1,3,4,29,0.805555556,24,0.666666667,85,0.708333333,1,3.4,2.5,1.8,"control",4.65,4.6,19.5261635,56.095025,"pre4",2.3
21,2,4,3,3,3,2,3,2,3,3,3,3,2,1,4,3,2,3,34,0.944444444,30,0.833333333,75,0.625,1,5.5,5,4.3,"control",4.9,3.85,6.848548,41.654715,"pre1",6
21,2,4,3,3,3,2,3,2,3,3,3,3,2,1,4,3,2,3,34,0.944444444,30,0.833333333,75,0.625,1,5.5,5,4.3,"control",4.9,3.85,6.848548,41.654715,"pre4",7.4
22,1,3,4,3,2,3,1,2,3,3,3,2,1,3,4,2,2,2,28,0.777777778,26,0.722222222,87,0.725,3,3,3,5,"below",5.9,3.4,7.4477925,54.876435,"pre1",4.6
22,1,3,4,3,2,3,1,2,3,3,3,2,1,3,4,2,2,2,28,0.777777778,26,0.722222222,87,0.725,3,3,3,5,"below",5.9,3.4,7.4477925,54.876435,"pre4",2.6
23,3,2,3,3,4,2,2,3,3,0,3,3,3,1,3,2,4,3,25,0.694444444,22,0.611111111,82,0.683333333,2,5.5,3.4,6,"control",6.2,2.3,3.18522695,34.069565,"pre1",6
23,3,2,3,3,4,2,2,3,3,0,3,3,3,1,3,2,4,3,25,0.694444444,22,0.611111111,82,0.683333333,2,5.5,3.4,6,"control",6.2,2.3,3.18522695,34.069565,"pre4",3.7
24,3,3,3,2,3,3,3,3,1,3,1,3,3,3,4,1,2,3,31,0.861111111,27,0.75,89,0.741666667,1,5.5,6.8,3.5,"above",3.3,4.8,16.8821655,73.80089,"pre1",6.4
24,3,3,3,2,3,3,3,3,1,3,1,3,3,3,4,1,2,3,31,0.861111111,27,0.75,89,0.741666667,1,5.5,6.8,3.5,"above",3.3,4.8,16.8821655,73.80089,"pre4",7.5
25,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,1,3,3,28,0.777777778,29,0.805555556,91,0.758333333,3,4.8,2.1,2.2,"below",5.55,3.05,5.667855,40.435795,"pre1",7.8
25,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,1,3,3,28,0.777777778,29,0.805555556,91,0.758333333,3,4.8,2.1,2.2,"below",5.55,3.05,5.667855,40.435795,"pre4",2.8
26,3,4,4,3,3,4,3,3,3,4,3,3,1,1,4,1,3,3,34,0.944444444,28,0.777777778,90,0.75,2,5.9,3.6,3.9,"control",6,2.75,5.8578445,39.23844,"pre1",4.5
26,3,4,4,3,3,4,3,3,3,4,3,3,1,1,4,1,3,3,34,0.944444444,28,0.777777778,90,0.75,2,5.9,3.6,3.9,"control",6,2.75,5.8578445,39.23844,"pre4",6.5
27,3,4,4,3,3,4,4,4,3,4,4,3,3,3,4,1,3,4,31,0.861111111,26,0.722222222,71,0.591666667,1,7.1,7.4,5.6,"above",4.7,3.4,6.3844045,42.82846,"pre1",5.5
27,3,4,4,3,3,4,4,4,3,4,4,3,3,3,4,1,3,4,31,0.861111111,26,0.722222222,71,0.591666667,1,7.1,7.4,5.6,"above",4.7,3.4,6.3844045,42.82846,"pre4",6.4
28,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,33,0.916666667,24,0.666666667,102,0.85,2,3.9,2.6,2.4,"below",4.25,3.6,15.600606,62.249035,"pre1",5.1
28,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,33,0.916666667,24,0.666666667,102,0.85,2,3.9,2.6,2.4,"below",4.25,3.6,15.600606,62.249035,"pre4",4.2
29,4,4,4,3,4,4,4,4,2,4,4,3,2,1,3,1,4,3,24,0.666666667,25,0.694444444,70,0.583333333,1,7.9,7.9,8,"above",8,1.85,6.0248205,69.66022,"pre1",7.4
29,4,4,4,3,4,4,4,4,2,4,4,3,2,1,3,1,4,3,24,0.666666667,25,0.694444444,70,0.583333333,1,7.9,7.9,8,"above",8,1.85,6.0248205,69.66022,"pre4",7.5
30,3,4,3,3,3,4,4,4,3,3,3,3,1,3,4,1,3,3,31,0.861111111,30,0.833333333,81,0.675,3,5.9,6.5,5.1,"above",3.75,4.8,8.9460435,41.6506,"pre1",6
30,3,4,3,3,3,4,4,4,3,3,3,3,1,3,4,1,3,3,31,0.861111111,30,0.833333333,81,0.675,3,5.9,6.5,5.1,"above",3.75,4.8,8.9460435,41.6506,"pre4",5.1
31,3,4,2,3,3,2,3,2,1,3,1,4,1,0,3,1,3,3,35,0.972222222,25,0.694444444,90,0.75,1,8.2,5.2,9.3,"above",3.85,3.85,7.897862,37.998435,"pre1",6
31,3,4,2,3,3,2,3,2,1,3,1,4,1,0,3,1,3,3,35,0.972222222,25,0.694444444,90,0.75,1,8.2,5.2,9.3,"above",3.85,3.85,7.897862,37.998435,"pre4",9
32,2,4,3,3,3,2,2,3,1,4,4,3,1,1,4,1,3,4,26,0.722222222,25,0.694444444,92,0.766666667,2,4.7,4.3,4.5,"control",4.6,3.5,4.43204,32.88247,"pre1",4.7
32,2,4,3,3,3,2,2,3,1,4,4,3,1,1,4,1,3,4,26,0.722222222,25,0.694444444,92,0.766666667,2,4.7,4.3,4.5,"control",4.6,3.5,4.43204,32.88247,"pre4",4.6
33,3,4,4,4,3,3,4,4,2,4,4,3,2,3,4,3,3,4,31,0.861111111,28,0.777777778,92,0.766666667,2,5,5.5,5.9,"control",4.65,3,5.410994,34.334165,"pre1",4.9
33,3,4,4,4,3,3,4,4,2,4,4,3,2,3,4,3,3,4,31,0.861111111,28,0.777777778,92,0.766666667,2,5,5.5,5.9,"control",4.65,3,5.410994,34.334165,"pre4",5.9
34,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,29,0.805555556,29,0.805555556,83,0.691666667,2,3,2.5,0.5,"below",7.65,2.55,10.6639325,56.030575,"pre1",5.5
34,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,29,0.805555556,29,0.805555556,83,0.691666667,2,3,2.5,0.5,"below",7.65,2.55,10.6639325,56.030575,"pre4",1.5
35,0,1,3,1,1,1,1,3,1,1,3,1,1,3,2,1,0,1,33,0.916666667,33,0.916666667,104,0.866666667,2,1.4,1.6,1.4,"below",5.45,3,9.5376625,41.023815,"pre1",2.1
35,0,1,3,1,1,1,1,3,1,1,3,1,1,3,2,1,0,1,33,0.916666667,33,0.916666667,104,0.866666667,2,1.4,1.6,1.4,"below",5.45,3,9.5376625,41.023815,"pre4",1.4
36,3,3,3,3,4,2,3,3,4,3,4,3,3,2,4,3,3,3,35,0.972222222,27,0.75,90,0.75,2,7.8,6.1,7.6,"above",5.7,3.15,4.644387,39.016775,"pre1",6
36,3,3,3,3,4,2,3,3,4,3,4,3,3,2,4,3,3,3,35,0.972222222,27,0.75,90,0.75,2,7.8,6.1,7.6,"above",5.7,3.15,4.644387,39.016775,"pre4",5.8
37,2,3,3,4,2,3,2,3,1,1,1,2,2,3,3,2,2,1,30,0.833333333,26,0.722222222,75,0.625,2,3.2,4.6,9.3,"control",6.75,3.15,4.857551,34.110255,"pre1",5.8
37,2,3,3,4,2,3,2,3,1,1,1,2,2,3,3,2,2,1,30,0.833333333,26,0.722222222,75,0.625,2,3.2,4.6,9.3,"control",6.75,3.15,4.857551,34.110255,"pre4",8
38,3,3,3,2,3,3,3,3,2,3,2,3,2,1,3,3,3,3,30,0.833333333,31,0.861111111,96,0.8,3,5,6,7.5,"control",6.45,2.9,4.7010595,28.750515,"pre1",6.3
38,3,3,3,2,3,3,3,3,2,3,2,3,2,1,3,3,3,3,30,0.833333333,31,0.861111111,96,0.8,3,5,6,7.5,"control",6.45,2.9,4.7010595,28.750515,"pre4",6.9
39,3,4,3,3,3,2,3,3,2,3,3,3,2,1,3,2,3,3,33,0.916666667,32,0.888888889,112,0.933333333,3,6.5,6.5,6.6,"above",4.9,3.6,4.6170035,30.968355,"pre1",6.4
39,3,4,3,3,3,2,3,3,2,3,3,3,2,1,3,2,3,3,33,0.916666667,32,0.888888889,112,0.933333333,3,6.5,6.5,6.6,"above",4.9,3.6,4.6170035,30.968355,"pre4",6.4
40,1,1,2,3,1,1,1,1,2,1,1,1,3,1,1,3,1,1,29,0.805555556,30,0.833333333,86,0.716666667,2,1.5,2,5,"below",7.3,2.35,3.250027,34.20401,"pre1",4.8
40,1,1,2,3,1,1,1,1,2,1,1,1,3,1,1,3,1,1,29,0.805555556,30,0.833333333,86,0.716666667,2,1.5,2,5,"below",7.3,2.35,3.250027,34.20401,"pre4",2.7
41,3,3,3,4,3,3,4,4,1,4,4,3,3,1,3,2,3,3,31,0.861111111,29,0.805555556,88,0.733333333,1,5.3,6,5.9,"above",4.45,2.95,3.804354,33.225925,"pre1",5
41,3,3,3,4,3,3,4,4,1,4,4,3,3,1,3,2,3,3,31,0.861111111,29,0.805555556,88,0.733333333,1,5.3,6,5.9,"above",4.45,2.95,3.804354,33.225925,"pre4",6.1
42,3,4,3,4,3,3,4,3,0,4,4,3,1,1,4,2,3,3,35,0.972222222,30,0.833333333,77,0.641666667,2,1.8,0.4,2.1,"above",4.15,3.9,6.2490815,41.731635,"pre1",1.8
42,3,4,3,4,3,3,4,3,0,4,4,3,1,1,4,2,3,3,35,0.972222222,30,0.833333333,77,0.641666667,2,1.8,0.4,2.1,"above",4.15,3.9,6.2490815,41.731635,"pre4",5.3
43,1,4,4,3,4,4,2,4,3,4,3,4,2,3,4,3,4,4,34,0.944444444,32,0.888888889,88,0.733333333,2,6.2,6.5,5.2,"below",4.95,3,5.292976,34.20217,"pre1",5.9
43,1,4,4,3,4,4,2,4,3,4,3,4,2,3,4,3,4,4,34,0.944444444,32,0.888888889,88,0.733333333,2,6.2,6.5,5.2,"below",4.95,3,5.292976,34.20217,"pre4",4.3
44,1,4,2,3,2,2,3,4,1,3,1,1,2,1,4,2,2,4,29,0.805555556,30,0.833333333,99,0.825,3,3.2,3,5.1,"control",3.75,4.1,4.8316925,30.40882,"pre1",3
44,1,4,2,3,2,2,3,4,1,3,1,1,2,1,4,2,2,4,29,0.805555556,30,0.833333333,99,0.825,3,3.2,3,5.1,"control",3.75,4.1,4.8316925,30.40882,"pre4",6.5
45,1,2,0,3,0,1,1,1,2,2,1,1,2,0,2,2,0,1,33,0.916666667,29,0.805555556,93,0.775,2,0.5,0.9,1.1,"control",4.15,4.05,12.1098295,47.500375,"pre1",2.2
45,1,2,0,3,0,1,1,1,2,2,1,1,2,0,2,2,0,1,33,0.916666667,29,0.805555556,93,0.775,2,0.5,0.9,1.1,"control",4.15,4.05,12.1098295,47.500375,"pre4",1.8
46,2,3,3,2,2,2,2,3,3,2,3,2,1,1,2,1,2,3,32,0.888888889,24,0.666666667,79,0.658333333,1,4.4,3.7,3.1,"control",4.1,4.25,14.7810465,57.56888,"pre1",4.9
46,2,3,3,2,2,2,2,3,3,2,3,2,1,1,2,1,2,3,32,0.888888889,24,0.666666667,79,0.658333333,1,4.4,3.7,3.1,"control",4.1,4.25,14.7810465,57.56888,"pre4",5.6
47,2,3,3,3,2,1,3,3,3,3,3,3,3,3,3,1,1,3,29,0.805555556,24,0.666666667,84,0.7,1,4.8,4.7,2.4,"control",4.25,3,5.3734065,39.28527,"pre1",5.9
47,2,3,3,3,2,1,3,3,3,3,3,3,3,3,3,1,1,3,29,0.805555556,24,0.666666667,84,0.7,1,4.8,4.7,2.4,"control",4.25,3,5.3734065,39.28527,"pre4",5.9
48,2,3,3,4,2,3,1,2,3,3,4,2,3,3,1,3,2,3,28,0.777777778,25,0.694444444,87,0.725,1,5,5,3.5,"control",5.55,2.7,17.7138985,64.90319,"pre1",4.2
48,2,3,3,4,2,3,1,2,3,3,4,2,3,3,1,3,2,3,28,0.777777778,25,0.694444444,87,0.725,1,5,5,3.5,"control",5.55,2.7,17.7138985,64.90319,"pre4",4.7
49,2,2,3,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,28,0.777777778,26,0.722222222,100,0.833333333,1,4.4,4.7,4.5,"above",8.45,1.65,2.9333524,40.93092,"pre1",4.9
49,2,2,3,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,28,0.777777778,26,0.722222222,100,0.833333333,1,4.4,4.7,4.5,"above",8.45,1.65,2.9333524,40.93092,"pre4",4.3
50,3,4,4,4,4,3,4,4,2,4,4,3,3,2,4,0,4,4,29,0.805555556,21,0.583333333,89,0.741666667,2,7.5,7.4,8.1,"above",6.3,2.95,5.400149,44.671825,"pre1",6.5
50,3,4,4,4,4,3,4,4,2,4,4,3,3,2,4,0,4,4,29,0.805555556,21,0.583333333,89,0.741666667,2,7.5,7.4,8.1,"above",6.3,2.95,5.400149,44.671825,"pre4",6.4
51,2,3,2,3,2,2,3,3,3,3,2,3,3,1,4,3,2,3,32,0.888888889,30,0.833333333,88,0.733333333,1,4.8,3.1,6.5,"control",4.6,3.2,8.6709455,47.368395,"pre1",7.5
51,2,3,2,3,2,2,3,3,3,3,2,3,3,1,4,3,2,3,32,0.888888889,30,0.833333333,88,0.733333333,1,4.8,3.1,6.5,"control",4.6,3.2,8.6709455,47.368395,"pre4",3
52,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,35,0.972222222,31,0.861111111,101,0.841666667,1,7.4,6.3,6.1,"above",4.85,2.8,5.9310235,31.831455,"pre1",6.6
52,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,35,0.972222222,31,0.861111111,101,0.841666667,1,7.4,6.3,6.1,"above",4.85,2.8,5.9310235,31.831455,"pre4",8.1
53,1,3,4,3,3,3,3,3,0,4,4,3,3,1,4,3,3,4,33,0.916666667,26,0.722222222,72,0.6,2,7.3,8.4,8,"below",5.4,3.1,4.152399,32.97924,"pre1",5
53,1,3,4,3,3,3,3,3,0,4,4,3,3,1,4,3,3,4,33,0.916666667,26,0.722222222,72,0.6,2,7.3,8.4,8,"below",5.4,3.1,4.152399,32.97924,"pre4",7.6
54,2,4,3,3,3,2,2,3,1,3,4,3,1,1,3,1,2,3,34,0.944444444,27,0.75,100,0.833333333,1,6.2,6.5,6,"above",4.3,3.9,6.62626,37.83488,"pre1",5.2
54,2,4,3,3,3,2,2,3,1,3,4,3,1,1,3,1,2,3,34,0.944444444,27,0.75,100,0.833333333,1,6.2,6.5,6,"above",4.3,3.9,6.62626,37.83488,"pre4",5.2
55,3,3,3,1,2,2,3,3,2,3,2,2,3,1,3,1,2,3,30,0.833333333,28,0.777777778,93,0.775,2,4.7,5.8,5.2,"control",4.9,3.2,3.8657205,32.500305,"pre1",4.6
55,3,3,3,1,2,2,3,3,2,3,2,2,3,1,3,1,2,3,30,0.833333333,28,0.777777778,93,0.775,2,4.7,5.8,5.2,"control",4.9,3.2,3.8657205,32.500305,"pre4",5.5
56,3,3,4,1,2,2,2,3,1,1,1,2,1,1,2,1,2,1,30,0.833333333,19,0.527777778,81,0.675,2,2.6,1.7,7.5,"above",6.45,2.5,4.4196645,46.14527,"pre1",4.6
56,3,3,4,1,2,2,2,3,1,1,1,2,1,1,2,1,2,1,30,0.833333333,19,0.527777778,81,0.675,2,2.6,1.7,7.5,"above",6.45,2.5,4.4196645,46.14527,"pre4",1.8
57,4,4,3,4,4,4,3,3,1,4,3,4,1,3,4,2,4,4,29,0.805555556,32,0.888888889,89,0.741666667,2,6,6.4,5.2,"above",3.7,3.8,9.7958045,49.20395,"pre1",5.5
57,4,4,3,4,4,4,3,3,1,4,3,4,1,3,4,2,4,4,29,0.805555556,32,0.888888889,89,0.741666667,2,6,6.4,5.2,"above",3.7,3.8,9.7958045,49.20395,"pre4",5.5
58,2,4,3,3,2,1,2,3,1,4,3,3,2,1,3,0,3,4,32,0.888888889,30,0.833333333,104,0.866666667,1,4.7,6.4,4.3,"above",3.95,3.5,8.1804025,40.25076,"pre1",5.4
58,2,4,3,3,2,1,2,3,1,4,3,3,2,1,3,0,3,4,32,0.888888889,30,0.833333333,104,0.866666667,1,4.7,6.4,4.3,"above",3.95,3.5,8.1804025,40.25076,"pre4",6.1
59,3,4,3,3,4,3,4,3,1,4,4,4,2,2,3,3,3,3,30,0.833333333,30,0.833333333,76,0.633333333,1,5.5,3.7,6.5,"control",4.75,3.25,4.8958135,33.787215,"pre1",5.2
59,3,4,3,3,4,3,4,3,1,4,4,4,2,2,3,3,3,3,30,0.833333333,30,0.833333333,76,0.633333333,1,5.5,3.7,6.5,"control",4.75,3.25,4.8958135,33.787215,"pre4",5.5
60,3,4,2,4,3,2,3,4,3,4,4,3,2,3,4,3,3,4,32,0.888888889,33,0.916666667,92,0.766666667,1,6,6,6.2,"control",2.9,5.55,17.8554305,50.33883,"pre1",5.7
60,3,4,2,4,3,2,3,4,3,4,4,3,2,3,4,3,3,4,32,0.888888889,33,0.916666667,92,0.766666667,1,6,6,6.2,"control",2.9,5.55,17.8554305,50.33883,"pre4",6.4
61,3,4,4,2,4,3,2,4,1,3,2,3,1,3,4,1,3,4,24,0.666666667,30,0.833333333,93,0.775,2,5,7.2,4.9,"control",7.5,2.5,6.291214,50.13099,"pre1",6.2
61,3,4,4,2,4,3,2,4,1,3,2,3,1,3,4,1,3,4,24,0.666666667,30,0.833333333,93,0.775,2,5,7.2,4.9,"control",7.5,2.5,6.291214,50.13099,"pre4",5.2
62,3,4,3,2,3,3,3,4,4,3,2,4,3,1,4,2,3,3,31,0.861111111,29,0.805555556,93,0.775,1,5.5,5.5,4.4,"above",3.55,4,8.0375245,48.557535,"pre1",5
62,3,4,3,2,3,3,3,4,4,3,2,4,3,1,4,2,3,3,31,0.861111111,29,0.805555556,93,0.775,1,5.5,5.5,4.4,"above",3.55,4,8.0375245,48.557535,"pre4",5.5
63,3,3,3,4,3,3,3,4,2,3,3,3,1,3,4,3,3,4,31,0.861111111,30,0.833333333,99,0.825,2,3.5,4.6,6.6,"control",6.35,2.45,2.5054525,31.811945,"pre1",6.1
63,3,3,3,4,3,3,3,4,2,3,3,3,1,3,4,3,3,4,31,0.861111111,30,0.833333333,99,0.825,2,3.5,4.6,6.6,"control",6.35,2.45,2.5054525,31.811945,"pre4",6.4
64,3,3,3,3,3,3,3,3,1,3,2,3,3,1,3,3,3,3,29,0.805555556,31,0.861111111,88,0.733333333,2,7,2,2.9,"below",6.6,2.2,3.806282,37.763215,"pre1",8.1
64,3,3,3,3,3,3,3,3,1,3,2,3,3,1,3,3,3,3,29,0.805555556,31,0.861111111,88,0.733333333,2,7,2,2.9,"below",6.6,2.2,3.806282,37.763215,"pre4",2.4
65,2,2,4,1,3,3,1,1,4,3,2,1,1,0,2,0,2,2,34,0.944444444,29,0.805555556,102,0.85,3,7,2.2,0.4,"control",3.7,4.45,8.363002,38.038225,"pre1",6.1
65,2,2,4,1,3,3,1,1,4,3,2,1,1,0,2,0,2,2,34,0.944444444,29,0.805555556,102,0.85,3,7,2.2,0.4,"control",3.7,4.45,8.363002,38.038225,"pre4",5.6
66,3,4,4,3,3,3,4,4,3,4,4,3,3,3,4,3,3,3,29,0.805555556,28,0.777777778,80,0.666666667,3,1.2,2.4,3.5,"below",6.15,3.3,4.41095,35.42018,"pre1",3.5
